Golbach_Pthread,,Threads,8,,,,,,,,,,,GoldbachSerial VS pthread,,Golbach_Pthread,,Threads,1,,,,,,,,,,,,,Golbach_Pthread,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,32,,,,,,,,,,,,,
0.000827415,0.000687456,0.000703877,0.000528877,0.001188646,0.001845508,0.002904559,0.001094124,0.074746648,0.03566222,0.056174607,0.167094948,0.34263147,0.333678423,1.114528711,4.875194552,0.6093993191,0.000074712,0.000119106,0.000096251,0.000212242,0.000246914,0.005830941,0.003379869,0.000570479,0.514671785,0.058066029,0.056543701,0.489028846,1.128766163,1.118310361,Speed Gain Medium,Efficiency Score Medium,0.00012867,0.000130496,0.000150206,0.00021295,0.00018933,0.002448608,0.003466409,0.000696934,0.160920994,0.06019116,0.065422888,0.175614974,0.469444949,0.462150016,Speed Gain Medium,Efficiency Score Medium,0.00405982,0.003776235,0.004112361,0.0043016,0.004020355,0.004749333,0.005253119,0.004129545,0.083945546,0.062172567,0.058579767,0.162902353,0.397942781,0.367600233,Speed Gain Medium,Efficiency Score Medium,0.000086212,0.000169328,0.000101647,0.000204176,0.000191206,0.003200191,0.003439183,0.000591058,0.27144286,0.054590685,0.109801785,0.293304158,0.737036277,0.729139488,Speed Gain Medium,Efficiency Score Medium,0.000759033,0.000799986,0.000972806,0.001551797,0.000978097,0.002055769,0.004032567,0.00237775,0.082938412,0.059658973,0.056036735,0.167365115,0.378768007,0.365999235,Speed Gain Medium,Efficiency Score Medium,0.00131444,0.001392779,0.001410681,0.001705682,0.001326721,0.001787957,0.004203252,0.001693991,0.083387934,0.059801219,0.059199038,0.164668427,0.380577681,0.367056618,Speed Gain Medium,Efficiency Score Medium
Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,,,,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,1.461134088,1.461134088,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,3.538235271,0.8845588176,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.508393575,0.03522182481,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,2.271670372,1.135835186,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.449809468,0.2781130918,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,4.508540677,0.1408918961
0.000734142,0.000687456,0.000703877,0.000528877,0.00070409,0.001845508,0.002577971,0.001069618,0.074746648,0.03566222,0.054510175,0.166838511,0.339874951,0.331757554,,,,0.000074553,0.000073496,0.00009376,0.000212242,0.000246914,0.005797818,0.003302068,0.000568012,0.511726525,0.055343942,0.056543701,0.483322309,1.117230787,1.106936477,,,0.00012867,0.000130496,0.000143827,0.000192764,0.000173338,0.002300804,0.003449054,0.000579161,0.160920994,0.057262453,0.063317202,0.175614974,0.464085067,0.457115623,,,0.003663095,0.003580594,0.003851408,0.003833266,0.003852785,0.004749333,0.005243939,0.004129545,0.07958873,0.062172567,0.055418342,0.161569568,0.387990077,0.358749207,,,0.000076374,0.000079618,0.000101647,0.000186242,0.000191206,0.003083555,0.003199227,0.000549503,0.27144286,0.054590685,0.107251535,0.278694369,0.719370447,0.711979449,,,0.000563582,0.000741315,0.000810596,0.000884147,0.000978097,0.001528055,0.004032567,0.001114896,0.080411508,0.059658973,0.056036735,0.167365115,0.373562004,0.363472331,,,0.001189264,0.00097844,0.001328271,0.001341923,0.001326721,0.001787957,0.004052691,0.001584622,0.078108405,0.059801219,0.057437287,0.163390591,0.371138127,0.358737502,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbach_Optimization_sums_2,,Threads,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,Goldbachpthread VS Optimization_sums_2,GoldbachSerial VS Optimization_sums_2,,Golbach_Optimization_sums_2,,Threads,1,,,,,,,,,,,,,Golbach_Optimization_sums_2,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_2,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_2,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_2,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_2,,Threads,32,,,,,,,,,,,,
0.001023433,0.000485889,0.000590287,0.000664394,0.000621008,0.000973545,0.002220888,0.000948296,0.028345797,0.027109077,0.022351696,0.075887627,0.160198504,0.153694197,Speed Gain Total,Speed Gain Total,Efficiency score,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,
0.000592889,0.000610676,0.000444583,0.001010983,0.001153488,0.001163212,0.002117798,0.001023079,0.027914292,0.027269092,0.022125402,0.079830333,0.164662938,0.157139119,2.394676816,10.37974912,1.347988601,0.000067988,0.000075541,0.00009162,0.00015725,0.000147185,0.002179438,0.001714683,0.000539338,0.177595292,0.02746732,0.064076898,0.190829095,0.46487366,0.459968605,Speed Gain Total,Efficiency score,0.000434252,0.000138411,0.000141146,0.000280075,0.000510714,0.000904609,0.002048667,0.0005819,0.056841471,0.027565749,0.023266832,0.086428123,0.198707697,0.194102175,Speed Gain Total,Efficiency score,0.003955226,0.0035883,0.003914775,0.004367261,0.003559093,0.004237152,0.003227402,0.004420023,0.029430743,0.030984542,0.021164238,0.08239372,0.191287249,0.163973243,Speed Gain Total,Efficiency score,0.000097467,0.000092811,0.000131716,0.000155925,0.000164262,0.000151235,0.001299936,0.000544966,0.106243591,0.028471116,0.04388107,0.138638246,0.319774874,0.317234023,Speed Gain Total,Efficiency score,0.000731607,0.00071995,0.001055454,0.001181321,0.001276455,0.001414809,0.002232359,0.001103552,0.029517432,0.02772754,0.021412759,0.08321223,0.170853861,0.161869961,Speed Gain Total,Efficiency score,0.001105661,0.001083314,0.00104099,0.001885966,0.001693263,0.002485258,0.002507956,0.00184531,0.027650609,0.029278288,0.021852148,0.079766822,0.171089924,0.158547867,Speed Gain Total,Efficiency score
0.000458897,0.000503404,0.000774334,0.00080965,0.00071055,0.000780363,0.002062698,0.00084859,0.029198244,0.026669388,0.021247503,0.078325866,0.16193059,0.155441001,Speed Gain Medium,Speed Gain Medium,Efficiency Score Medium,0.000079126,0.000068396,0.000122722,0.000159834,0.00015523,0.002074841,0.00171408,0.000505789,0.178656426,0.027135612,0.063775477,0.192091684,0.466460091,0.461659199,3.539148432,3.539148432,0.000130381,0.000127969,0.00016256,0.000226675,0.001029475,0.000916852,0.001689734,0.000539727,0.058437422,0.030263541,0.022658404,0.089390572,0.205442931,0.200749939,8.546548151,2.178079336,0.003838735,0.003606467,0.004383777,0.004761942,0.004354721,0.004740517,0.003868166,0.004370594,0.030586556,0.032212593,0.02256712,0.088933961,0.204386414,0.17430023,8.615448266,0.07842239055,0.000085446,0.000115002,0.000097848,0.000163509,0.000145325,0.000150676,0.001219654,0.000525965,0.099976282,0.028502613,0.040800815,0.141622295,0.313319984,0.310902005,5.468028078,2.734014039,0.000863827,0.000763584,0.000812029,0.001288667,0.001032863,0.001286645,0.002184165,0.001468733,0.033358362,0.028849276,0.022498193,0.077676298,0.171218815,0.162382129,10.03031475,0.6268946718,0.001211919,0.001122331,0.000981646,0.001239801,0.001528054,0.001713769,0.002266725,0.001597089,0.030729907,0.028906436,0.022532324,0.084419798,0.17703788,0.166588465,9.754756562,0.3048361426
Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,2.437096092,10.66039616,1.33254952,0.000079622,0.000073458,0.0000886,0.000156667,0.00015524,0.002125073,0.00160833,0.000524957,0.181714022,0.027341836,0.062082703,0.197316792,0.473187678,0.468455353,Speed Gain Medium,Efficiency Score Medium,0.000120018,0.000140748,0.000130494,0.000165051,0.000165361,0.000928297,0.001609251,0.000561452,0.059709377,0.027547881,0.020795509,0.082609241,0.194362662,0.190662008,Speed Gain Medium,Efficiency Score Medium,0.00485223,0.003826966,0.004042127,0.00401654,0.004136187,0.004914146,0.004617765,0.004391949,0.029707439,0.031282875,0.022092071,0.081412214,0.194440279,0.164494599,Speed Gain Medium,Efficiency Score Medium,0.000102816,0.00010635,0.000095073,0.000171054,0.00016947,0.000156789,0.001246485,0.000512337,0.099271116,0.028278424,0.043423597,0.128493903,0.301924598,0.29946704,Speed Gain Medium,Efficiency Score Medium,0.000991899,0.000810029,0.000979929,0.00073287,0.001065935,0.001409478,0.002334076,0.001469874,0.028429023,0.028256521,0.021968579,0.083654447,0.171110761,0.16230857,Speed Gain Medium,Efficiency Score Medium,0.001155222,0.000992758,0.001467972,0.001769466,0.001220008,0.001774671,0.002857583,0.001758341,0.027518219,0.029163903,0.021522267,0.083157835,0.173203023,0.161362224,Speed Gain Medium,Efficiency Score Medium
0.000458897,0.000485889,0.000444583,0.000664394,0.000621008,0.000780363,0.002062698,0.00084859,0.027914292,0.026669388,0.021247503,0.075887627,0.157626335,0.15171881,,,,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,3.534160193,3.534160193,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,8.612531505,2.153132876,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,9.923095795,0.0775241859,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,5.44858988,2.72429494,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,10.4182174,0.6511385877,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,10.25517865,0.3204743328
,Speed Up All Tests,,,,Speed Up Medium Tests,,,,,,,,,,,,0.000067988,0.000068396,0.0000886,0.000156667,0.000147185,0.002074841,0.00160833,0.000505789,0.177595292,0.027135612,0.062082703,0.190829095,0.46229251,0.457642702,,,0.000120018,0.000127969,0.000130494,0.000165051,0.000165361,0.000904609,0.001609251,0.000539727,0.056841471,0.027547881,0.020795509,0.082609241,0.191436564,0.187794102,,,0.003838735,0.0035883,0.003914775,0.00401654,0.003559093,0.004237152,0.003227402,0.004370594,0.029430743,0.030984542,0.021164238,0.081412214,0.189905593,0.162991737,,,0.000085446,0.000092811,0.000095073,0.000155925,0.000145325,0.000150676,0.001219654,0.000512337,0.099271116,0.028278424,0.040800815,0.128493903,0.299216059,0.296844258,,,0.000731607,0.00071995,0.000812029,0.00073287,0.001032863,0.001286645,0.002184165,0.001103552,0.028429023,0.02772754,0.021412759,0.077676298,0.163117694,0.15524562,,,0.001105661,0.000992758,0.000981646,0.001239801,0.001220008,0.001713769,0.002266725,0.001597089,0.027518219,0.028906436,0.021522267,0.079766822,0.16772554,0.157713744,,
number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.302459376,1.464443901,3.539148432,1,1.297119346,1.461134088,3.534160193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.210700903,2.274380076,5.468028078,2,2.204927108,2.271670372,5.44858988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.204289237,3.525478255,8.546548151,4,3.206511271,3.538235271,8.612531505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4.33450938,4.813893484,10.37974912,8,4.374220695,4.875194552,10.66039616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4.379786473,4.240645913,10.03031475,16,4.449809468,4.449809468,10.4182174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.408390551,4.408390551,9.754756562,32,4.508540677,4.508540677,10.25517865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4.415132494,4.21691664,8.615448266,128,4.722570072,4.508393575,9.923095795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficiency Score All tests,,,,Efficiency Score Medium Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.302459376,1.464443901,3.539148432,1,1.297119346,1.461134088,3.534160193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.137190038,1.137190038,2.734014039,2,1.102463554,1.135835186,2.72429494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.8010723092,0.8813695637,2.178079336,4,0.8016278178,0.8845588176,2.153132876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.5418136725,0.6093993191,1.347988601,8,0.5467775869,0.6093993191,1.33254952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.2620047506,0.6268946718,0.6268946718,16,0.2680778644,0.2781130918,0.6511385877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.1320133169,0.1377622047,0.3048361426,32,0.134417664,0.1408918961,0.3204743328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.03449322261,0.03294466125,0.07842239055,128,0.03689507869,0.0775241859,0.0775241859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,