busy_wait_rand,,busy_wait_fixed,
Number of Threads: 10000,,Number of Threads: 10000,
X(Max Delay Time Given),Y(Execution time in seconds),X(Time Given),Y(Execution in seconds)
1,3.155631158,1,1.13950324
1,75.8121291,1,1.4797463
1,3.027086181,1,16.82257823
1,81.66595317,1,3.563270148
1,3.396853291,1,3.799825773
5,3.60377983,5,1.191300734
5,114.5103169,5,18.66098707
5,5.961308732,5,1.325333988
5,3.74005377,5,1.226722079
5,6.710709419,5,19.12717714
25,44.01914212,25,1.653595153
25,40.5446717,25,1.439000995
25,2.896798151,25,1.385074406
25,16.23537846,25,2.044638656
25,3.976740676,25,2.385810272
50,2.604673111,50,1.730369375
50,3.017843415,50,2.675336825
50,3.301931023,50,1.598378332
50,46.54859317,50,1.425533684
50,3.475084261,50,1.94890222
75,3.792780215,75,1.950366958
75,48.73522894,75,1.792631853
75,2.896107404,75,2.112546852
75,4.108335243,75,1.741070374
75,3.655031563,75,2.101036401
100,4.443637685,100,2.475409759
100,2.693788663,100,2.080208478
100,4.264627229,100,1.936544113
100,2.998573384,100,1.956107555
100,2.687757811,100,2.095314864